nombre,apellido,edad,salario,departamento
Victoria,Salazar,45,67400,Recursos Humanos
Valentina,Molina,35,107350,Ingeniería
Tomás,Ponce,52,112050,Administración
Soledad,Giménez,63,126150,Ingeniería
Sofía,Medina,50,149650,Recursos Humanos
Sebastián,Rojas,56,105000,Finanzas
Santiago,Paz,43,137900,Ventas
Rocío,Herrera,29,65050,Marketing
Renata,Roldán,25,119100,Soporte
Ramiro,Ojeda,49,72100,Logística
Pilar,Peralta,33,100300,Soporte
Paula,Acosta,48,86200,Ingeniería
Nicolás,Silva,54,95600,Diseño
Natalia,Cabrera,38,97950,Recursos Humanos
Micaela,Figueroa,28,154350,Marketingssss
Matías,Luna,23,93250,Diseño
Mateo,Torres,36,123800,Diseño
Martina,Cáceres,30,60350,Soporte
Mariano,Domínguez,44,81500,Diseño
Malena,Arias,27,62700,Gerencia
Lucía,Quiroga,22,102650,Marketing
Lucas,Ramos,34,74450,Finanzas
Leonardo,Suárez,46,142600,Ventas
Lautaro,Ruiz,31,135550,Administración
Julieta,Navarro,26,83850,Marketing
Joaquín,Ibarra,61,69750,Logística
Ignacio,Aguirre,53,109700,Finanzas
Gonzalo,Godoy,42,76800,Administración
Gabriel,Castillo,39,147300,Ventas
Franco,Morales,24,140250,Logística
Florencia,Méndez,57,128500,Ingeniería
Facundo,Ferreyra,62,121450,Ventas
Ezequiel,Romero,40,144950,Diseño
Emilia,Flores,47,79150,Ingeniería
Delfina,Miranda,41,133200,Recursos Humanos
Catalina,Vargas,32,88550,Gerencia
Camila,Ortiz,55,58000,Gerencia
Benjamín,Sosa,37,116750,Finanzas
Antonella,Vega,51,90900,Soporte
Andrés,Pérez,60,114400,Administración
Agustín,Bustos,58,152000,Logística
Abril,Correa,59,130850,Gerencia
