nombre,apellido,edad,salario,departamento
Mariano,Domínguez,44,81500,Diseño
Rocío,Herrera,29,65050,Marketing
Victoria,Salazar,45,67400,Recursos Humanos
Malena,Arias,27,62700,Gerencia
Martina,Cáceres,30,60350,Soporte
Lautaro,Ruiz,31,135550,Administración
Abril,Correa,59,130850,Gerencia
Natalia,Cabrera,38,97950,Recursos Humanos
Nicolás,Silva,54,95600,Diseño
Franco,Morales,24,140250,Logística
Mateo,Torres,36,123800,Diseño
Pilar,Peralta,33,100300,Soporte
Camila,Ortiz,55,58000,Gerencia
Catalina,Vargas,32,88550,Gerencia
Lucas,Ramos,34,74450,Finanzas
Ignacio,Aguirre,53,109700,Finanzas
Ezequiel,Romero,40,144950,Diseño
Julieta,Navarro,26,83850,Marketing
Benjamín,Sosa,37,116750,Finanzas
Gabriel,Castillo,39,147300,Ventas
Soledad,Giménez,63,126150,Ingeniería
Delfina,Miranda,41,133200,Recursos Humanos
Andrés,Pérez,60,114400,Administración
Florencia,Méndez,57,128500,Ingeniería
Sofía,Medina,50,149650,Recursos Humanos
Sebastián,Rojas,56,105000,Finanzas
Agustín,Bustos,58,152000,Logística
Paula,Acosta,48,86200,Ingeniería
Santiago,Paz,43,137900,Ventas
Facundo,Ferreyra,62,121450,Ventas
Matías,Luna,23,93250,Diseño
Valentina,Molina,35,107350,Ingeniería
Renata,Roldán,25,119100,Soporte
Leonardo,Suárez,46,142600,Ventas
Gonzalo,Godoy,42,76800,Administración
Antonella,Vega,51,90900,Soporte
Micaela,Figueroa,28,154350,Marketing
Lucía,Quiroga,22,102650,Marketing
Ramiro,Ojeda,49,72100,Logística
Emilia,Flores,47,79150,Ingeniería
Tomás,Ponce,52,112050,Administración
Joaquín,Ibarra,61,69750,Logística
